               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.027286,           0.0061015,           0.0020534,             0.98189,             0.98571,             0.97803,             0.55901,            0.028317,           0.0045596,           0.0011843,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03084,           0.0064967,           0.0026334,             0.96353,             0.98571,             0.97747,             0.54006,            0.031398,           0.0046198,           0.0014341,           0.0082774,           0.0082774,           0.0082774
                  89,            0.030097,           0.0068222,           0.0025897,             0.96612,              0.9828,              0.9775,             0.57366,            0.030594,           0.0046312,           0.0015893,           0.0082576,           0.0082576,           0.0082576
                  90,            0.029855,           0.0066651,           0.0029693,             0.97459,             0.98182,             0.97999,             0.47994,            0.032476,           0.0049938,          0.00099216,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029317,           0.0067325,           0.0031935,             0.98043,             0.98571,             0.97516,              0.4908,            0.033737,           0.0049035,          0.00082014,            0.008218,            0.008218,            0.008218
                  92,            0.028879,           0.0067263,           0.0021438,             0.98289,              0.9835,             0.97526,             0.47987,            0.038226,           0.0047468,          0.00071537,           0.0081982,           0.0081982,           0.0081982
                  93,            0.032699,           0.0064829,           0.0023451,             0.98335,             0.97679,             0.97529,             0.44843,             0.03676,           0.0049382,           0.0008683,           0.0081784,           0.0081784,           0.0081784
                  94,             0.02971,           0.0063844,           0.0020751,             0.98328,             0.97439,             0.97526,             0.44344,            0.033409,            0.004987,           0.0010081,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028783,           0.0057463,           0.0019752,             0.98159,             0.97143,             0.97623,              0.5245,            0.034729,           0.0048597,           0.0011883,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027516,           0.0057803,           0.0026484,             0.94983,             0.97143,             0.95072,             0.48186,             0.04095,           0.0047268,          0.00094027,            0.008119,            0.008119,            0.008119
                  97,            0.030353,           0.0062376,           0.0018973,             0.95824,             0.97143,              0.9515,             0.45423,            0.041294,           0.0046941,           0.0010833,           0.0080992,           0.0080992,           0.0080992
                  98,            0.032245,           0.0067023,           0.0034991,             0.97494,             0.98388,             0.97753,              0.5453,            0.031769,           0.0045553,           0.0014923,           0.0080794,           0.0080794,           0.0080794
